year,category,was_nominated,artist,track_name,popularity,danceability,energy,explicit,nomination_dec
2012,Best Gospel Album,1,Lecrae,Gravity,67,0.27,0.275,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,67,0.27,0.275,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,34,0.462,0.613,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,34,0.462,0.613,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,49,0.117,0.256,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,49,0.117,0.256,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,59,0.586,0.868,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,59,0.586,0.868,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,48,0.77,0.693,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,48,0.77,0.693,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,48,0.405,0.917,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,48,0.405,0.917,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,46,0.405,0.917,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,46,0.405,0.917,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,55,0.631,0.862,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,55,0.631,0.862,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,55,0.631,0.862,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,55,0.631,0.862,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,64,0.783,0.616,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,64,0.783,0.616,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,11,0.172,0.0701,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,11,0.172,0.0701,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,48,0.405,0.917,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,48,0.405,0.917,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,51,0.442,0.14,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,51,0.442,0.14,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,51,0.442,0.14,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,51,0.442,0.14,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,55,0.389,0.92,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,55,0.389,0.92,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,64,0.783,0.616,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,64,0.783,0.616,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,45,0.8,0.62,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,45,0.8,0.62,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,72,0.753,0.326,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,72,0.753,0.326,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,72,0.753,0.326,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,72,0.753,0.326,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,63,0.783,0.616,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,63,0.783,0.616,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,44,0.8,0.62,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,44,0.8,0.62,False,2000
2012,Best Gospel Album,1,Lecrae,Gravity,18,0.473,0.574,False,2010
2008,Best Solo Rock Vocal Performance,1,John Mayer,Gravity,18,0.473,0.574,False,2000
1998,Best Female Country Vocal Performance,1,Shania Twain,You're Still The One,56,0.607,0.473,False,1990
1998,Best Country Song,1,,You're Still The One,56,0.607,0.473,False,1990
1998,Best Female Country Vocal Performance,1,Shania Twain,You're Still The One,56,0.607,0.473,False,1990
1998,Best Country Song,1,,You're Still The One,56,0.607,0.473,False,1990
1998,Best Female Country Vocal Performance,1,Shania Twain,You're Still The One,3,0.558,0.54,False,1990
1998,Best Country Song,1,,You're Still The One,3,0.558,0.54,False,1990
1998,Best Female Country Vocal Performance,1,Shania Twain,You're Still The One,0,0.558,0.54,False,1990
1998,Best Country Song,1,,You're Still The One,0,0.558,0.54,False,1990
1998,Best Female Country Vocal Performance,1,Shania Twain,You're Still The One,0,0.558,0.54,False,1990
1998,Best Country Song,1,,You're Still The One,0,0.558,0.54,False,1990
1998,Best Female Country Vocal Performance,1,Shania Twain,You're Still The One,78,0.585,0.494,False,1990
1998,Best Country Song,1,,You're Still The One,78,0.585,0.494,False,1990
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,61,0.564,0.864,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,38,0.551,0.161,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,10,0.685,0.849,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,43,0.477,0.243,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,46,0.467,0.749,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,5,0.663,0.857,True,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,0,0.663,0.857,True,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,50,0.694,0.696,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,46,0.595,0.712,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,46,0.595,0.712,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,5,0.663,0.857,True,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,46,0.639,0.66,True,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,57,0.415,0.816,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,46,0.399,0.739,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,46,0.457,0.812,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,63,0.669,0.698,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,57,0.415,0.816,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,23,0.334,0.992,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,0,0.722,0.871,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,0,0.722,0.871,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,56,0.701,0.866,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,59,0.643,0.745,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,61,0.564,0.864,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,61,0.564,0.864,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,50,0.891,0.434,True,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,47,0.891,0.434,True,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,59,0.643,0.745,False,1970
1972,"Best Pop Vocal Performance, Male",1,Harry Nilsson,Without You,44,0.327,0.269,False,1970
2014,Best Song Written For Visual Media,1,"Kristen Anderson-Lopez & Robert Lopez, songwriters (Idina Menzel)",Let It Go,51,0.599,0.349,False,2010
2014,Best Song Written For Visual Media,1,"Kristen Anderson-Lopez & Robert Lopez, songwriters (Idina Menzel)",Let It Go,55,0.46,0.319,False,2010
2014,Best Song Written For Visual Media,1,"Kristen Anderson-Lopez & Robert Lopez, songwriters (Idina Menzel)",Let It Go,23,0.716,0.375,False,2010
2014,Best Song Written For Visual Media,1,"Kristen Anderson-Lopez & Robert Lopez, songwriters (Idina Menzel)",Let It Go,21,0.68,0.154,False,2010
2014,Best Song Written For Visual Media,1,"Kristen Anderson-Lopez & Robert Lopez, songwriters (Idina Menzel)",Let It Go,21,0.724,0.873,False,2010
2014,Best Song Written For Visual Media,1,"Kristen Anderson-Lopez & Robert Lopez, songwriters (Idina Menzel)",Let It Go,21,0.545,0.957,False,2010
2014,Best Song Written For Visual Media,1,"Kristen Anderson-Lopez & Robert Lopez, songwriters (Idina Menzel)",Let It Go,10,0.506,0.647,False,2010
2014,Best Song Written For Visual Media,1,"Kristen Anderson-Lopez & Robert Lopez, songwriters (Idina Menzel)",Let It Go,26,0.531,0.713,False,2010
1974,"Best Country Vocal Performance, Female",1,Anne Murray,Love Song,73,0.583,0.786,False,1970
1974,"Best Country Vocal Performance, Female",1,Anne Murray,Love Song,48,0.627,0.408,False,1970
1974,"Best Country Vocal Performance, Female",1,Anne Murray,Love Song,0,0.826,0.517,False,1970
1974,"Best Country Vocal Performance, Female",1,Anne Murray,Love Song,0,0.826,0.517,False,1970
1974,"Best Country Vocal Performance, Female",1,Anne Murray,Love Song,48,0.627,0.408,False,1970
1974,"Best Country Vocal Performance, Female",1,Anne Murray,Love Song,43,0.487,0.568,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,60,0.401,0.58,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,49,0.568,0.177,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,18,0.632,0.729,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,30,0.554,0.484,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,71,0.687,0.785,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,71,0.687,0.785,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,54,0.12,0.313,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,30,0.801,0.255,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,71,0.687,0.785,False,1970
1979,Best Pop Instrumental Performance,1,Herb Alpert,Rise,61,0.57,0.921,False,1970
1995,Best R&B Performance By A Duo Or Group With Vocal,1,TLC,Creep,58,0.585,0.103,False,1990
1995,Best R&B Performance By A Duo Or Group With Vocal,1,TLC,Creep,85,0.515,0.43,True,1990
1995,Best R&B Performance By A Duo Or Group With Vocal,1,TLC,Creep,85,0.515,0.43,True,1990
1995,Best R&B Performance By A Duo Or Group With Vocal,1,TLC,Creep,25,0.559,0.337,False,1990
1995,Best R&B Performance By A Duo Or Group With Vocal,1,TLC,Creep,62,0.654,0.576,False,1990
1995,Best R&B Performance By A Duo Or Group With Vocal,1,TLC,Creep,62,0.654,0.576,False,1990
1995,Best R&B Performance By A Duo Or Group With Vocal,1,TLC,Creep,58,0.66,0.567,False,1990
1995,Best R&B Performance By A Duo Or Group With Vocal,1,TLC,Creep,85,0.515,0.43,True,1990
1995,Best R&B Performance By A Duo Or Group With Vocal,1,TLC,Creep,85,0.515,0.43,True,1990
1986,Record Of The Year,1,Steve Winwood,Higher Love,30,0.578,0.763,False,1980
1986,"Best Pop Vocal Performance, Male",1,Steve Winwood,Higher Love,30,0.578,0.763,False,1980
1986,Record Of The Year,1,Steve Winwood,Higher Love,76,0.693,0.678,False,1980
1986,"Best Pop Vocal Performance, Male",1,Steve Winwood,Higher Love,76,0.693,0.678,False,1980
1986,Record Of The Year,1,Steve Winwood,Higher Love,7,0.714,0.628,False,1980
1986,"Best Pop Vocal Performance, Male",1,Steve Winwood,Higher Love,7,0.714,0.628,False,1980
2016,"Best Arrangement, Instrumental or A Cappella",1,,You And I,63,0.698,0.285,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,53,0.423,0.207,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,81,0.472,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,1,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,0,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,81,0.472,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,0,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,1,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,81,0.472,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,0,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,1,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,81,0.472,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,0,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,1,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,81,0.472,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,0,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,1,0.474,0.671,False,2010
2010,"Best Southern, Country, Or Bluegrass Gospel Album",1,Diamond Rio,The Reason,81,0.472,0.671,False,2010
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,61,0.619,0.28,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,61,0.619,0.28,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,54,0.78,0.389,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,54,0.78,0.389,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,73,0.677,0.556,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,73,0.677,0.556,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,0,0.592,0.873,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,0,0.592,0.873,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,69,0.552,0.371,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,69,0.552,0.371,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,31,0.689,0.586,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,31,0.689,0.586,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,51,0.404,0.939,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,51,0.404,0.939,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,0,0.592,0.873,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,0,0.592,0.873,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,69,0.552,0.371,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,69,0.552,0.371,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,0,0.798,0.575,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,0,0.798,0.575,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,0,0.798,0.575,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,0,0.798,0.575,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,0,0.798,0.575,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,0,0.798,0.575,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,0,0.798,0.575,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,0,0.798,0.575,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,0,0.798,0.575,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,0,0.798,0.575,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,0,0.554,0.371,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,0,0.554,0.371,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,69,0.554,0.371,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,69,0.554,0.371,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,67,0.798,0.575,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,67,0.798,0.575,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,58,0.613,0.461,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,58,0.613,0.461,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,25,0.518,0.825,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,25,0.518,0.825,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,46,0.478,0.683,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,46,0.478,0.683,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,61,0.461,0.488,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,61,0.461,0.488,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,41,0.652,0.636,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,41,0.652,0.636,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,41,0.652,0.636,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,41,0.652,0.636,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,52,0.585,0.724,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,52,0.585,0.724,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,66,0.716,0.853,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,66,0.716,0.853,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,77,0.382,0.589,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,77,0.382,0.589,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,77,0.382,0.589,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,77,0.382,0.589,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,77,0.382,0.589,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,77,0.382,0.589,False,2000
2006,Best Male R&B Vocal Performance,1,John Legend,Heaven,0,0.616,0.598,False,2000
2004,Best Pop Performance By A Duo Or Group With Vocal,1,Los Lonely Boys,Heaven,0,0.616,0.598,False,2000
2000,"Best Score Soundtrack Album For A Motion Picture, Television Or Other Visual Media",1,,American Beauty,63,0.645,0.169,False,2000
2018,Best Alternative Music Album,1,Beck,Colors,64,0.681,0.168,False,2010
2018,"Best Engineered Album, Non-Classical",1,,Colors,64,0.681,0.168,False,2010
2018,Best Alternative Music Album,1,Beck,Colors,68,0.512,0.812,False,2010
2018,"Best Engineered Album, Non-Classical",1,,Colors,68,0.512,0.812,False,2010
2018,Best Alternative Music Album,1,Beck,Colors,64,0.337,0.835,False,2010
2018,"Best Engineered Album, Non-Classical",1,,Colors,64,0.337,0.835,False,2010
2018,Best Alternative Music Album,1,Beck,Colors,68,0.512,0.812,False,2010
2018,"Best Engineered Album, Non-Classical",1,,Colors,68,0.512,0.812,False,2010
2018,Best Alternative Music Album,1,Beck,Colors,68,0.512,0.812,False,2010
2018,"Best Engineered Album, Non-Classical",1,,Colors,68,0.512,0.812,False,2010
2018,Best Alternative Music Album,1,Beck,Colors,58,0.734,0.295,False,2010
2018,"Best Engineered Album, Non-Classical",1,,Colors,58,0.734,0.295,False,2010
2018,Best Alternative Music Album,1,Beck,Colors,67,0.391,0.692,False,2010
2018,"Best Engineered Album, Non-Classical",1,,Colors,67,0.391,0.692,False,2010
2018,Best Alternative Music Album,1,Beck,Colors,39,0.609,0.979,False,2010
2018,"Best Engineered Album, Non-Classical",1,,Colors,39,0.609,0.979,False,2010
2019,Song Of The Year,1,,Someone You Loved,57,0.736,0.364,False,2010
2019,Song Of The Year,1,,Someone You Loved,36,0.582,0.518,False,2010
2019,Song Of The Year,1,,Someone You Loved,52,0.571,0.925,False,2010
2019,Song Of The Year,1,,Someone You Loved,56,0.481,0.0686,False,2010
2019,Song Of The Year,1,,Someone You Loved,87,0.501,0.405,False,2010
2010,Best Urban/Alternative Performance,1,Cee Lo Green,Fuck You,36,0.608,0.917,True,2010
2010,Best Urban/Alternative Performance,1,Cee Lo Green,Fuck You,14,0.326,0.93,True,2010
2010,Best Urban/Alternative Performance,1,Cee Lo Green,Fuck You,36,0.608,0.917,True,2010
1981,Best Rhythm & Blues Song,1,,Just The Two Of Us,41,0.618,0.083,False,1980
1981,Best Rhythm & Blues Song,1,,Just The Two Of Us,41,0.618,0.083,False,1980
2019,"Best Arrangement, Instruments and Vocals",1,,Jolene,64,0.588,0.142,False,2010
2016,Best Country Duo/Group Performance,1,Pentatonix Featuring Dolly Parton,Jolene,64,0.588,0.142,False,2010
2019,"Best Arrangement, Instruments and Vocals",1,,Jolene,73,0.674,0.537,False,2010
2016,Best Country Duo/Group Performance,1,Pentatonix Featuring Dolly Parton,Jolene,73,0.674,0.537,False,2010
2019,"Best Arrangement, Instruments and Vocals",1,,Jolene,70,0.674,0.537,False,2010
2016,Best Country Duo/Group Performance,1,Pentatonix Featuring Dolly Parton,Jolene,70,0.674,0.537,False,2010
2019,Best Folk Album,1,Joy Williams,Front Porch,64,0.567,0.224,False,2010
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,53,0.464,0.653,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,1,0.829,0.689,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,0,0.829,0.689,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,0,0.829,0.689,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,28,0.631,0.846,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,5,0.732,0.979,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,37,0.621,0.768,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,50,0.524,0.885,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,86,0.802,0.755,True,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,33,0.403,0.884,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,0,0.403,0.884,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,61,0.403,0.884,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,5,0.403,0.884,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,33,0.403,0.884,False,1970
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,1,,Superman,61,0.403,0.884,False,1970
2007,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",1,(The Beatles),Love,60,0.759,0.684,False,2000
2007,Best Surround Sound Album,1,,Love,60,0.759,0.684,False,2000
2007,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",1,(The Beatles),Love,53,0.851,0.414,False,2000
2007,Best Surround Sound Album,1,,Love,53,0.851,0.414,False,2000
2007,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",1,(The Beatles),Love,16,0.824,0.896,False,2000
2007,Best Surround Sound Album,1,,Love,16,0.824,0.896,False,2000
2007,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",1,(The Beatles),Love,56,0.66,0.177,False,2000
2007,Best Surround Sound Album,1,,Love,56,0.66,0.177,False,2000
